Timestamp,Longitude,Latitude,Operatorname,NetworkTech,Level,Speed,Altitude,Filemark
2025.04.02_18.22.08,77.895146,29.864151,JIO4G,4G,-83,1,212,
2025.04.02_18.22.16,77.895241,29.864105,JIO4G,4G,-86,2,223,
2025.04.02_18.22.22,77.895303,29.864011,JIO4G,4G,-83,3,225,
2025.04.02_18.22.28,77.895328,29.863923,JIO4G,4G,-85,4,229,
2025.04.02_18.22.29,77.895328,29.863923,JIO4G,4G,-86,4,229,
2025.04.02_18.22.36,77.89534,29.863833,JIO4G,4G,-85,4,230,
2025.04.02_18.22.45,77.895338,29.863738,JIO4G,4G,-80,3,225,
2025.04.02_18.22.53,77.895348,29.863644,JIO4G,4G,-83,3,223,
2025.04.02_18.23.03,77.895331,29.86355,JIO4G,4G,-82,3,223,
2025.04.02_18.23.11,77.895311,29.863455,JIO4G,4G,-80,4,224,
2025.04.02_18.23.18,77.895311,29.863363,JIO4G,4G,-78,4,226,
2025.04.02_18.23.26,77.89535,29.863274,JIO4G,4G,-65,4,228,
2025.04.02_18.23.27,77.89535,29.863274,JIO4G,2G,-113,4,228,
2025.04.02_18.23.29,77.89535,29.863274,JIO4G,4G,-68,4,228,
2025.04.02_18.23.34,77.895331,29.863173,JIO4G,4G,-71,4,228,
2025.04.02_18.23.43,77.895318,29.863078,JIO4G,4G,-77,4,225,
2025.04.02_18.23.52,77.895276,29.86299,JIO4G,4G,-76,4,226,
2025.04.02_18.24.01,77.895273,29.862893,JIO4G,4G,-76,4,227,
2025.04.02_18.24.07,77.895305,29.862796,JIO4G,4G,-77,4,229,
2025.04.02_18.24.09,77.895305,29.862796,JIO4G,2G,-113,4,229,
2025.04.02_18.24.10,77.895305,29.862796,JIO4G,4G,-75,4,229,
2025.04.02_18.24.12,77.895305,29.862796,JIO4G,4G,-71,4,229,
2025.04.02_18.24.14,77.895293,29.862696,JIO4G,4G,-71,4,233,
2025.04.02_18.24.21,77.89528,29.862606,JIO4G,4G,-67,4,238,
2025.04.02_18.24.25,77.89528,29.862606,JIO4G,4G,-78,4,238,
2025.04.02_18.24.29,77.895283,29.862515,JIO4G,4G,-70,4,237,
2025.04.02_18.24.36,77.895296,29.862421,JIO4G,4G,-65,4,236,
2025.04.02_18.24.42,77.895353,29.862329,JIO4G,4G,-72,4,231,
2025.04.02_18.24.51,77.895418,29.862258,JIO4G,4G,-74,4,230,
2025.04.02_18.25.00,77.895496,29.862181,JIO4G,4G,-79,3,229,
2025.04.02_18.25.09,77.895611,29.862164,JIO4G,4G,-78,3,229,
2025.04.02_18.25.18,77.895708,29.862126,JIO4G,4G,-78,3,231,
2025.04.02_18.25.25,77.895825,29.86209,JIO4G,4G,-79,3,234,
2025.04.02_18.25.31,77.895928,29.86205,JIO4G,4G,-75,3,232,
2025.04.02_18.25.37,77.896033,29.862029,JIO4G,4G,-77,3,234,
2025.04.02_18.25.46,77.896126,29.861976,JIO4G,4G,-76,3,238,
2025.04.02_18.25.55,77.896221,29.861936,JIO4G,4G,-77,3,245,
2025.04.02_18.26.06,77.896336,29.861884,JIO4G,4G,-80,3,254,
2025.04.02_18.26.12,77.896393,29.861808,JIO4G,4G,-76,3,256,
2025.04.02_18.26.17,77.896495,29.861831,JIO4G,4G,-81,4,254,
2025.04.02_18.26.20,77.896581,29.86192,JIO4G,4G,-84,4,253,
2025.04.02_18.26.23,77.896641,29.862006,JIO4G,4G,-84,3,251,
2025.04.02_18.26.25,77.896641,29.862006,JIO4G,4G,-73,3,251,
2025.04.02_18.26.31,77.89669,29.862096,JIO4G,4G,-74,3,248,
2025.04.02_18.26.37,77.896686,29.862191,JIO4G,4G,-72,4,247,
2025.04.02_18.26.41,77.89675,29.862263,JIO4G,4G,-75,4,240,
2025.04.02_18.26.48,77.896813,29.862344,JIO4G,4G,-79,3,235,
2025.04.02_18.26.50,77.896813,29.862344,JIO4G,4G,-82,3,235,
2025.04.02_18.26.58,77.896793,29.862441,JIO4G,4G,-84,3,231,
2025.04.02_18.27.07,77.896713,29.862503,JIO4G,4G,-81,3,229,
2025.04.02_18.27.14,77.896726,29.862606,JIO4G,4G,-80,4,229,
2025.04.02_18.27.21,77.896748,29.862701,JIO4G,4G,-80,4,232,
2025.04.02_18.27.26,77.89678,29.86279,JIO4G,4G,-77,4,228,
2025.04.02_18.27.33,77.896806,29.86289,JIO4G,4G,-85,4,226,
2025.04.02_18.27.39,77.896801,29.862983,JIO4G,4G,-82,4,226,
2025.04.02_18.27.46,77.896708,29.863036,JIO4G,4G,-80,4,228,
2025.04.02_18.27.54,77.896593,29.86304,JIO4G,4G,-73,4,229,
2025.04.02_18.28.02,77.89648,29.863048,JIO4G,4G,-85,4,225,
2025.04.02_18.28.11,77.896363,29.863053,JIO4G,4G,-84,3,223,
2025.04.02_18.28.19,77.896253,29.86307,JIO4G,4G,-82,3,227,
2025.04.02_18.28.30,77.896141,29.863078,JIO4G,4G,-83,3,228,
2025.04.02_18.28.36,77.896141,29.863078,JIO4G,4G,-81,3,228,
2025.04.02_18.28.37,77.896035,29.863058,JIO4G,4G,-81,3,227,
2025.04.02_18.28.44,77.895923,29.863058,JIO4G,4G,-79,4,224,
2025.04.02_18.28.50,77.895815,29.863046,JIO4G,4G,-73,4,222,
2025.04.02_18.28.59,77.895708,29.863076,JIO4G,4G,-80,4,224,
2025.04.02_18.29.06,77.895585,29.863075,JIO4G,4G,-77,4,219,
2025.04.02_18.29.14,77.89544,29.863085,JIO4G,4G,-76,4,216,
2025.04.02_18.29.22,77.895333,29.863128,JIO4G,4G,-77,4,222,
2025.04.02_18.29.31,77.895286,29.863211,JIO4G,4G,-77,3,223,
2025.04.02_18.29.41,77.895315,29.863308,JIO4G,4G,-78,3,225,
2025.04.02_18.29.50,77.895318,29.863404,JIO4G,4G,-84,4,224,
