Timestamp,Longitude,Latitude,Operatorname,NetworkTech,Level,Speed,Altitude,Filemark
2025.04.07_17.12.58,77.895853,29.864311,JIO4G,4G,-84,0,43,
2025.04.07_17.13.15,77.895881,29.864199,JIO4G,4G,-81,2,57,
2025.04.07_17.13.20,77.895951,29.864103,JIO4G,4G,-80,3,67,
2025.04.07_17.13.24,77.896076,29.864073,JIO4G,4G,-82,3,75,
2025.04.07_17.13.59,77.89597,29.864079,JIO4G,4G,-81,3,102,
2025.04.07_17.14.07,77.895861,29.864073,JIO4G,4G,-85,2,107,
2025.04.07_17.14.17,77.895763,29.864121,JIO4G,4G,-87,2,109,
2025.04.07_17.14.28,77.895703,29.864199,JIO4G,4G,-86,2,120,
2025.04.07_17.14.49,77.895703,29.864199,JIO4G,4G,-88,0,120,
2025.04.07_17.14.50,77.895703,29.864199,JIO4G,4G,-84,0,120,
2025.04.07_17.15.04,77.895808,29.864175,JIO4G,4G,-83,3,136,
2025.04.07_17.15.20,77.895926,29.86418,JIO4G,4G,-82,2,154,
2025.04.07_17.15.53,77.895996,29.864103,JIO4G,4G,-87,1,197,
2025.04.07_17.16.06,77.896021,29.864015,JIO4G,4G,-83,3,204,
2025.04.07_17.16.16,77.895913,29.863998,JIO4G,4G,-83,4,208,
2025.04.07_17.16.25,77.89581,29.863988,JIO4G,4G,-87,3,211,
2025.04.07_17.16.37,77.8957,29.86403,JIO4G,4G,-96,0,214,
2025.04.07_17.16.48,77.8957,29.86403,JIO4G,4G,-98,0,214,
2025.04.07_17.16.51,77.895806,29.864023,JIO4G,4G,-93,0,214,
2025.04.07_17.16.54,77.895806,29.864023,JIO4G,4G,-84,0,214,
2025.04.07_17.16.57,77.895806,29.864023,JIO4G,4G,-97,0,214,
2025.04.07_17.16.57,77.895855,29.864108,JIO4G,4G,-97,0,214,
2025.04.07_17.17.24,77.895855,29.864108,JIO4G,4G,-100,0,214,
2025.04.07_17.17.27,77.895918,29.86418,JIO4G,4G,-101,0,213,
2025.04.07_17.17.44,77.895929,29.864271,JIO4G,4G,-106,0,215,
2025.04.07_17.17.46,77.895929,29.864271,JIO4G,4G,-104,0,215,
2025.04.07_17.17.56,77.895941,29.864148,JIO4G,4G,-94,0,217,
2025.04.07_17.18.00,77.895986,29.864018,JIO4G,4G,-99,0,218,
2025.04.07_17.18.04,77.896011,29.863893,JIO4G,4G,-105,0,218,
2025.04.07_17.19.49,77.896011,29.863893,JIO4G,2G,-113,0,218,
2025.04.07_17.20.10,77.89552968,29.86377995,JIO4G,4G,-106,,,
2025.04.07_17.20.11,77.89552666,29.86379987,JIO4G,4G,-106,,,
